estimate_id,customer_id,service_id,estimate_date,quoted_revenue,quoted_labor_hours,quoted_material_cost,estimate_status,won_date
50405,96,3,2025-10-15,430.28,5.25,109.15,Lost,
50406,97,8,2025-08-08,554.69,5.0,72.41,Won,2025-08-10
50407,97,8,2025-04-29,717.97,8.29,89.35,Won,2025-05-03
50408,97,3,2026-05-30,747.41,10.03,191.77,Won,2026-06-02
50409,97,9,2026-07-18,451.71,4.04,102.12,Won,2026-07-23
50410,97,4,2025-10-28,658.34,8.51,139.46,Expired,
50411,97,5,2025-12-25,415.55,4.53,49.67,Lost,
50412,98,6,2025-04-23,2783.08,28.35,974.54,Won,2025-04-29
50413,98,3,2026-03-30,491.49,6.29,135.17,Won,2026-04-06
50414,98,10,2025-06-01,2265.05,21.15,840.97,Won,2025-06-06
50415,99,9,2026-05-06,538.23,5.38,155.09,Lost,
50416,99,4,2025-06-08,379.6,4.93,86.49,Won,2025-06-15
50417,99,9,2025-07-13,299.14,3.05,78.73,Won,2025-07-15
50418,99,10,2026-04-28,2469.73,29.29,865.09,Lost,
50419,99,3,2025-10-20,656.54,8.66,156.4,Won,2025-10-27
50420,99,8,2025-11-08,883.01,11.03,94.6,Lost,
50421,100,8,2025-08-31,907.42,10.85,107.18,Won,2025-09-03
50422,100,6,2026-03-24,6153.88,56.22,1940.73,Lost,
50423,100,5,2025-11-11,689.55,7.68,64.66,Won,2025-11-17
50424,101,5,2025-12-18,264.13,3.66,30.41,Won,2025-12-19
50425,101,8,2026-06-22,492.82,5.82,60.29,Won,2026-06-23
50426,101,3,2025-07-18,581.87,7.77,166.13,Won,2025-07-20
50427,101,10,2026-07-01,1742.63,17.62,663.62,Lost,
50428,102,9,2026-07-18,388.69,3.58,110.04,Won,2026-07-19
50429,102,8,2025-04-11,620.2,5.81,74.13,Won,2025-04-14
50430,102,10,2026-04-30,2778.12,32.72,822.04,Won,2026-05-01
50431,102,8,2025-12-26,615.15,6.76,79.16,Lost,
50432,102,9,2026-07-29,400.18,3.44,107.36,Won,2026-08-03
50433,103,10,2026-07-16,2207.86,26.29,767.87,Won,2026-07-19
50434,103,8,2025-03-23,817.32,7.96,99.75,Won,2025-03-30
50435,103,5,2025-02-05,410.26,4.84,35.1,Won,2025-02-10
50436,103,10,2025-08-28,3113.23,39.7,1148.3,Won,2025-09-01
50437,103,4,2025-11-28,313.24,4.01,71.53,Lost,
50438,103,10,2026-05-18,3372.62,38.45,986.02,Won,2026-05-22
50439,104,9,2025-08-02,295.1,3.0,87.02,Won,2025-08-08
50440,104,10,2026-02-27,1754.71,17.82,535.33,Lost,
50441,104,8,2025-04-10,439.73,4.85,53.38,Won,2025-04-11
50442,104,6,2026-05-01,3114.62,32.65,1023.89,Expired,
50443,104,3,2025-12-26,617.69,7.3,191.81,Won,2025-12-30
50444,105,5,2025-11-10,233.33,2.91,22.72,Lost,
50445,105,9,2025-07-07,216.91,2.26,48.16,Won,2025-07-11
50446,105,3,2025-01-18,548.96,7.12,147.27,Won,2025-01-23
50447,105,3,2026-03-17,486.9,6.09,126.27,Won,2026-03-21
50448,106,4,2026-05-09,423.25,5.02,109.68,Won,2026-05-14
50449,106,4,2025-04-02,675.22,7.85,131.99,Won,2025-04-06
50450,107,8,2025-06-11,573.93,6.0,76.08,Won,2025-06-12
50451,107,3,2025-05-18,443.69,5.65,116.52,Won,2025-05-24
50452,107,5,2025-01-03,294.72,3.81,32.7,Won,2025-01-09
50453,107,9,2026-05-14,323.21,2.46,89.37,Expired,
50454,108,9,2025-07-13,210.88,1.7,62.77,Lost,
50455,108,8,2025-06-19,485.02,4.97,60.98,Lost,
50456,108,8,2025-11-22,482.46,5.6,62.49,Won,2025-11-29
50457,108,5,2026-04-05,229.83,2.38,21.51,Lost,
50458,109,3,2026-03-10,355.05,4.45,73.53,Expired,
50459,109,3,2025-03-22,432.54,5.97,108.05,Expired,
50460,109,10,2026-06-07,1957.07,21.06,633.85,Expired,
50461,109,5,2025-12-04,364.39,4.27,37.67,Won,2025-12-05
50462,109,6,2025-08-28,3189.83,31.48,1090.61,Won,2025-08-29
50463,110,5,2025-08-23,494.93,6.81,50.68,Lost,
50464,110,8,2026-05-02,704.93,8.23,109.26,Lost,
50465,110,3,2025-03-14,479.81,6.87,118.06,Won,2025-03-17
50466,110,5,2025-09-27,377.74,4.99,36.09,Won,2025-10-01
50467,110,6,2025-05-09,3136.15,27.83,1118.97,Lost,
50468,110,9,2026-05-01,370.43,3.94,97.25,Expired,
50469,110,8,2026-07-23,538.29,6.2,60.28,Lost,
50470,111,9,2026-07-08,195.36,1.65,43.18,Lost,
50471,111,10,2026-04-07,2617.07,33.36,966.41,Won,2026-04-08
50472,111,4,2026-08-20,399.5,5.04,97.06,Lost,
50473,111,10,2025-09-17,2501.5,27.37,779.47,Expired,
50474,111,9,2025-03-18,204.33,1.67,53.54,Won,2025-03-20
50475,112,7,2025-04-12,7372.85,69.19,2786.2,Expired,
50476,112,3,2025-07-16,487.39,6.46,133.29,Lost,
50477,112,7,2026-05-12,4125.5,40.89,1594.62,Won,2026-05-16
50478,113,3,2025-04-12,570.76,8.01,160.86,Won,2025-04-19
50479,113,4,2025-05-23,367.65,3.78,81.82,Won,2025-05-24
50480,113,7,2025-04-19,6310.84,57.75,2522.4,Lost,
50481,113,3,2025-03-17,379.6,5.4,121.3,Lost,
50482,114,7,2025-06-30,9327.59,81.16,3436.93,Expired,
50483,114,3,2026-04-21,830.17,11.09,239.22,Won,2026-04-28
50484,114,3,2026-03-16,857.35,10.32,218.75,Won,2026-03-19
50485,114,6,2026-08-05,3319.36,32.04,1442.86,Won,2026-08-12
50486,115,8,2026-03-03,501.88,4.98,66.61,Won,2026-03-06
50487,115,3,2026-03-30,963.13,12.06,220.02,Expired,
50488,115,10,2025-04-21,2426.98,25.28,722.04,Won,2025-04-22
50489,115,10,2025-06-08,3149.14,34.03,961.91,Lost,
50490,115,4,2026-08-20,548.28,6.67,144.12,Lost,
50491,116,10,2025-09-30,1831.23,18.9,651.61,Lost,
50492,116,5,2025-10-23,199.86,2.73,17.66,Lost,
50493,116,10,2025-07-08,1903.02,21.12,664.06,Won,2025-07-14
50494,116,4,2026-08-16,312.55,3.83,69.27,Won,2026-08-19
50495,117,5,2025-11-19,278.22,3.33,23.83,Expired,
50496,117,9,2025-06-29,250.54,2.18,72.39,Lost,
50497,118,10,2026-05-13,2161.75,26.77,830.98,Won,2026-05-16
50498,118,4,2026-07-02,300.93,3.81,74.88,Won,2026-07-04
50499,119,9,2025-06-04,194.72,1.88,44.56,Won,2025-06-11
50500,119,3,2025-03-27,290.82,3.5,78.36,Expired,
50501,119,3,2025-12-15,620.74,7.36,177.68,Won,2025-12-18
50502,120,3,2025-03-25,598.18,8.04,150.92,Won,2025-04-01
50503,120,9,2026-08-25,305.76,3.1,80.74,Won,2026-08-30
50504,120,4,2026-04-01,356.76,4.15,69.32,Won,2026-04-06
50505,120,8,2026-04-23,564.62,6.31,77.31,Won,2026-04-28
50506,120,6,2025-11-09,4441.08,47.4,1608.48,Won,2025-11-12
50507,121,10,2025-03-01,1619.9,19.16,591.86,Expired,
50508,121,3,2025-10-10,720.91,9.8,195.21,Lost,
50509,121,8,2025-06-11,745.33,8.59,99.33,Lost,
50510,121,9,2025-08-28,362.0,3.06,91.38,Lost,
50511,121,8,2026-05-06,671.04,8.5,68.36,Lost,
50512,121,8,2025-04-12,618.86,6.3,73.76,Won,2025-04-14
50513,122,6,2026-03-18,5162.09,48.72,1971.46,Won,2026-03-20
50514,122,10,2025-05-28,4629.79,56.03,1791.76,Won,2025-05-30
50515,122,10,2026-05-22,2575.16,30.01,904.5,Expired,
50516,122,10,2026-04-07,3081.72,27.23,1042.39,Won,2026-04-08
50517,122,9,2025-07-24,383.84,4.33,101.58,Won,2025-07-25
50518,122,8,2025-12-21,1059.79,11.7,162.87,Expired,
50519,122,8,2026-08-05,798.29,8.87,77.82,Won,2026-08-08
50520,122,8,2025-03-21,1138.29,12.26,136.99,Expired,
50521,123,6,2025-07-14,2759.01,22.78,1027.24,Lost,
50522,124,5,2025-10-20,388.85,4.83,38.88,Won,2025-10-25
50523,124,4,2025-10-17,453.59,5.68,103.13,Lost,
50524,124,8,2026-02-13,948.42,11.21,142.75,Won,2026-02-17
50525,124,8,2025-11-15,893.44,9.71,116.04,Won,2025-11-16
50526,124,10,2026-03-06,2093.56,24.08,671.59,Lost,
50527,125,8,2026-07-04,830.28,9.22,105.02,Lost,
50528,125,4,2026-07-31,370.7,4.61,84.03,Lost,
50529,125,4,2025-08-07,456.12,4.54,87.22,Won,2025-08-14
50530,125,9,2026-04-22,325.22,3.25,82.27,Lost,
50531,126,3,2025-11-30,717.45,10.04,200.49,Lost,
50532,126,10,2026-03-08,4228.65,50.92,1568.24,Won,2026-03-10
50533,126,4,2026-08-06,481.91,5.4,91.68,Won,2026-08-07
50534,126,3,2026-05-05,860.44,11.56,253.63,Won,2026-05-10
50535,126,6,2026-06-20,2570.37,21.85,957.61,Lost,
50536,126,5,2025-12-09,437.71,4.78,36.74,Won,2025-12-11
50537,126,4,2025-11-20,489.47,5.18,113.69,Won,2025-11-23
50538,127,8,2025-12-05,680.87,8.19,82.82,Won,2025-12-10
50539,127,6,2025-08-06,5074.1,50.11,1931.4,Lost,
50540,127,8,2025-04-12,635.31,6.16,78.02,Won,2025-04-18
50541,127,6,2025-08-26,4698.7,49.2,1891.36,Won,2025-08-29
50542,128,3,2026-06-13,592.37,7.37,156.31,Lost,
50543,129,9,2026-06-19,397.52,3.34,99.9,Lost,
50544,129,8,2025-06-09,574.42,6.29,71.8,Won,2025-06-14
50545,129,7,2025-03-22,9632.67,96.81,3634.14,Won,2025-03-28
50546,130,10,2025-09-20,2999.26,33.64,1131.18,Lost,
50547,130,9,2025-09-05,302.12,2.65,89.46,Won,2025-09-10
50548,130,8,2025-11-07,456.94,4.9,71.19,Won,2025-11-09
50549,130,10,2026-08-04,1781.53,19.91,588.06,Lost,
50550,130,10,2026-08-12,2344.35,22.83,748.26,Lost,
50551,130,6,2025-08-18,3655.5,38.71,1377.89,Won,2025-08-24
50552,131,4,2026-07-23,268.76,3.05,47.86,Won,2026-07-26
50553,132,6,2025-07-24,3861.88,39.89,1333.8,Won,2025-07-26
50554,132,5,2026-02-26,239.62,2.93,25.9,Won,2026-03-03
50555,132,7,2025-05-27,5295.92,50.45,2371.16,Expired,
50556,132,5,2025-10-31,266.05,3.94,25.8,Won,2025-11-07
50557,133,10,2025-09-16,2291.97,25.98,721.36,Expired,
50558,133,3,2025-04-08,381.59,5.07,111.46,Won,2025-04-11
50559,133,7,2026-04-03,4692.13,37.26,1923.45,Won,2026-04-08
50560,133,6,2026-08-04,2127.28,19.79,772.93,Lost,
50561,133,3,2026-05-12,621.12,7.86,170.28,Won,2026-05-18
50562,134,7,2025-12-18,5478.36,47.45,2045.86,Lost,
50563,134,9,2025-10-23,229.15,2.34,60.1,Won,2025-10-29
50564,134,8,2025-06-24,389.58,4.06,48.17,Lost,
50565,134,3,2025-04-10,544.74,6.93,123.34,Lost,
50566,134,9,2025-05-19,213.98,1.89,65.64,Won,2025-05-25
50567,134,6,2025-05-28,2690.51,24.78,1020.83,Won,2025-06-02
50568,135,5,2026-01-10,474.23,5.97,44.77,Won,2026-01-15
50569,135,10,2026-02-22,1826.36,19.94,685.64,Won,2026-02-27
50570,135,3,2025-05-06,530.85,5.96,136.53,Won,2025-05-07
50571,135,3,2025-03-23,392.09,5.02,122.65,Won,2025-03-30
50572,136,6,2026-06-28,2888.84,28.93,916.36,Won,2026-07-02
50573,136,9,2026-03-03,282.27,2.56,84.87,Won,2026-03-05
50574,136,6,2025-06-07,2208.73,19.67,717.57,Won,2025-06-12
50575,136,10,2025-07-18,2251.67,28.54,703.48,Expired,
50576,136,8,2025-08-21,475.05,6.06,64.78,Won,2025-08-25
50577,136,8,2026-07-11,451.57,6.17,43.88,Won,2026-07-16
50578,138,3,2025-05-19,422.57,5.12,135.4,Won,2025-05-21
50579,138,6,2026-05-04,2523.48,26.05,911.77,Expired,
50580,138,4,2026-08-05,391.34,4.14,84.64,Won,2026-08-08
50581,138,3,2026-01-15,485.35,5.08,137.97,Won,2026-01-18
50582,138,3,2026-01-13,468.75,6.79,134.47,Won,2026-01-14
50583,138,10,2025-10-11,1819.55,17.73,621.2,Lost,
50584,139,3,2025-09-05,461.75,5.86,122.68,Won,2025-09-12
50585,139,4,2025-09-03,368.87,4.65,71.64,Lost,
50586,139,5,2025-11-20,311.84,4.0,31.82,Won,2025-11-23
50587,139,10,2025-03-19,1298.02,16.7,515.79,Expired,
50588,140,6,2026-07-09,2318.64,22.66,810.19,Lost,
50589,140,3,2026-04-20,679.08,7.58,195.31,Lost,
50590,140,8,2025-10-17,387.92,4.18,43.57,Won,2025-10-20
50591,140,4,2025-08-15,451.95,5.87,99.44,Won,2025-08-19
50592,140,6,2026-08-29,2525.09,27.2,684.53,Lost,
50593,141,8,2025-04-02,709.14,7.87,77.04,Won,2025-04-06
50594,141,8,2026-07-15,695.9,6.76,102.42,Won,2026-07-16
50595,142,8,2025-05-04,601.09,6.41,82.97,Won,2025-05-08
50596,142,4,2025-09-06,268.74,3.23,54.14,Won,2025-09-07
50597,142,10,2025-11-22,2556.84,25.3,977.93,Expired,
50598,142,5,2025-11-06,238.58,2.41,26.73,Expired,
50599,143,5,2025-10-28,346.14,4.01,28.07,Won,2025-10-30
50600,143,8,2025-03-05,481.48,5.26,71.31,Won,2025-03-06
50601,144,5,2025-12-13,254.31,3.43,24.66,Lost,
50602,144,7,2025-05-03,5702.83,50.61,2189.68,Won,2025-05-06
50603,144,10,2025-09-18,1845.31,19.85,648.38,Lost,
50604,144,10,2026-06-06,2380.76,25.02,731.15,Lost,
50605,145,6,2026-08-10,4364.56,37.75,1501.3,Expired,
50606,145,6,2025-01-12,5998.28,60.05,2028.02,Won,2025-01-15
50607,145,3,2026-05-26,1248.94,16.09,342.75,Won,2026-05-29
50608,145,5,2025-12-12,661.64,8.28,63.39,Won,2025-12-16
50609,145,3,2025-10-04,1150.42,15.26,328.12,Won,2025-10-11
50610,146,4,2025-11-22,382.49,4.36,77.83,Won,2025-11-28
50611,146,6,2025-05-11,3395.64,31.53,1309.01,Expired,
50612,146,8,2025-09-26,494.26,6.05,59.95,Lost,
50613,146,3,2025-03-30,394.56,5.62,113.74,Won,2025-04-05
50614,146,7,2026-05-22,5906.6,54.65,2441.79,Lost,
50615,146,10,2025-10-26,1596.59,20.19,457.22,Lost,
50616,147,4,2025-05-09,383.75,4.73,85.72,Won,2025-05-15
50617,147,3,2026-06-25,482.68,7.03,137.24,Won,2026-07-01
50618,148,10,2025-04-13,2527.38,28.83,864.66,Won,2025-04-19
50619,148,8,2025-05-26,377.48,3.94,37.25,Won,2025-05-29
50620,149,10,2025-12-12,1950.76,19.82,786.28,Lost,
50621,149,3,2026-08-29,476.78,5.69,130.76,Won,2026-09-04
50622,150,10,2025-10-28,3152.97,33.95,1120.09,Lost,
50623,150,7,2025-06-29,6298.05,66.09,2246.61,Expired,
50624,150,3,2025-06-05,462.12,6.41,120.36,Won,2025-06-09
50625,151,4,2025-10-04,429.54,5.36,96.2,Lost,
50626,151,9,2025-09-13,361.44,3.36,92.3,Won,2025-09-18
50627,151,5,2025-11-19,253.83,3.24,24.29,Won,2025-11-21
50628,151,5,2026-06-21,306.16,3.65,28.29,Lost,
50629,152,8,2026-07-22,523.33,5.62,83.38,Won,2026-07-26
50630,152,10,2026-05-23,1832.01,22.07,667.48,Won,2026-05-24
50631,152,5,2025-12-10,189.43,2.48,17.78,Won,2025-12-16
50632,152,3,2026-05-19,431.38,5.37,96.99,Won,2026-05-26
50633,153,6,2025-02-03,3574.25,33.03,1241.84,Lost,
50634,154,8,2025-02-03,634.12,7.5,65.21,Won,2025-02-10
50635,154,9,2025-05-27,318.36,2.77,87.96,Lost,
50636,154,4,2026-04-20,411.09,4.68,85.76,Lost,
50637,154,6,2025-05-16,6072.57,53.76,2298.37,Lost,
50638,155,4,2025-10-14,348.21,3.99,85.97,Won,2025-10-20
50639,155,6,2026-07-13,3556.6,34.38,1250.56,Lost,
50640,155,3,2025-02-06,449.44,6.6,132.6,Expired,
50641,155,6,2026-05-15,2705.59,29.47,877.0,Lost,
50642,155,4,2025-08-09,377.65,4.53,84.58,Lost,
50643,155,10,2026-08-26,1690.8,19.05,605.15,Expired,
50644,155,3,2025-04-20,516.9,6.91,140.13,Lost,
50645,156,6,2025-07-27,2714.23,23.17,932.7,Lost,
50646,156,10,2026-04-19,1959.42,19.53,642.17,Lost,
50647,156,7,2026-06-16,5280.05,54.88,2082.62,Won,2026-06-23
50648,156,7,2025-05-07,5072.66,49.86,1889.72,Won,2025-05-10
50649,156,10,2026-02-18,1935.21,20.59,618.94,Won,2026-02-22
50650,157,3,2026-05-05,441.54,5.1,130.46,Lost,
50651,157,9,2025-11-30,290.72,2.45,80.1,Expired,
50652,158,6,2026-04-26,5016.41,49.41,1987.77,Expired,
50653,158,4,2025-08-13,475.49,5.37,91.39,Won,2025-08-16
50654,158,3,2026-08-19,876.58,10.42,286.69,Won,2026-08-25
50655,158,6,2025-11-05,4192.05,45.59,1302.55,Lost,
50656,158,8,2026-04-23,463.15,4.49,61.36,Lost,
50657,158,3,2026-03-09,703.44,9.22,183.43,Lost,
50658,158,4,2025-09-21,479.54,5.53,94.09,Lost,
50659,158,10,2025-01-04,2541.52,26.88,791.25,Won,2025-01-07
50660,159,4,2025-10-12,637.1,6.15,113.35,Won,2025-10-13
50661,159,10,2026-07-19,3150.37,36.6,1069.06,Lost,
50662,159,9,2025-04-28,400.72,4.18,123.12,Won,2025-05-01
50663,159,3,2026-07-20,942.89,14.52,244.96,Lost,
50664,159,6,2025-11-18,5308.09,50.9,1908.49,Won,2025-11-20
50665,159,10,2025-09-23,3550.76,35.81,1260.22,Lost,
50666,159,10,2025-08-28,3731.69,42.45,1344.37,Won,2025-09-01
50667,159,9,2025-06-09,518.83,5.22,154.18,Lost,
50668,160,4,2026-02-21,426.02,4.72,99.53,Won,2026-02-23
50669,160,8,2025-06-23,452.36,4.62,70.09,Won,2025-06-30
50670,160,10,2026-04-09,2639.09,32.13,928.82,Lost,
50671,160,3,2026-04-26,440.78,5.5,117.96,Won,2026-04-27
50672,160,10,2025-12-31,1867.96,23.91,659.91,Lost,
50673,160,7,2026-05-22,5902.65,59.54,2723.71,Lost,
50674,162,10,2026-02-07,1940.93,22.94,710.78,Won,2026-02-11
50675,162,8,2025-11-07,329.34,3.55,34.99,Won,2025-11-09
50676,162,6,2026-05-24,2734.54,24.25,946.06,Lost,
50677,162,4,2026-08-06,249.87,3.09,51.38,Won,2026-08-13
50678,163,10,2025-05-16,2173.25,24.07,740.92,Won,2025-05-23
50679,163,6,2025-08-30,3032.42,29.66,1037.18,Won,2025-08-31
50680,163,8,2025-08-22,628.56,7.52,83.75,Won,2025-08-27
50681,163,7,2025-09-30,10513.02,88.52,4136.79,Won,2025-10-01
50682,163,3,2025-05-21,722.72,10.7,170.67,Lost,
50683,163,6,2025-05-12,4317.08,42.77,1605.77,Lost,
50684,163,3,2025-05-04,900.74,11.93,255.76,Lost,
50685,164,9,2025-04-21,234.31,2.02,75.03,Lost,
50686,164,3,2026-02-03,728.87,8.82,188.29,Expired,
50687,164,6,2025-07-29,3751.11,34.23,1238.34,Lost,
50688,164,9,2025-06-22,285.12,2.69,77.83,Won,2025-06-28
50689,165,5,2025-11-24,436.64,4.98,42.93,Won,2025-11-25
50690,165,3,2025-09-06,629.65,7.34,189.63,Won,2025-09-12
50691,165,3,2025-07-08,417.0,4.91,121.83,Won,2025-07-10
50692,165,3,2025-05-05,558.53,7.25,180.24,Expired,
50693,165,3,2026-07-21,497.83,6.01,130.31,Won,2026-07-22
50694,165,9,2026-04-01,276.24,2.55,65.3,Won,2026-04-05
50695,165,3,2026-05-11,494.37,6.12,126.29,Lost,
50696,166,10,2025-10-10,1388.75,14.64,528.75,Lost,
50697,166,9,2025-08-06,225.68,1.97,61.87,Won,2025-08-08
50698,166,4,2025-09-11,456.9,5.73,102.41,Won,2025-09-14
50699,167,3,2026-06-05,372.0,4.7,115.83,Expired,
50700,167,4,2026-08-15,492.81,5.12,116.83,Lost,
50701,167,10,2025-06-18,2044.46,22.69,661.74,Lost,
50702,167,5,2025-12-16,313.94,4.03,35.08,Won,2025-12-21
50703,167,9,2025-08-01,327.37,3.37,92.7,Lost,
50704,167,5,2025-10-01,317.27,3.4,23.9,Won,2025-10-04
50705,168,7,2026-01-02,11978.19,125.71,4685.47,Won,2026-01-05
50706,169,7,2025-10-25,6476.06,61.83,2338.68,Won,2025-10-30
50707,169,5,2025-11-20,419.79,5.66,44.36,Lost,
50708,169,6,2026-05-21,3228.17,27.9,1081.75,Won,2026-05-28
50709,169,4,2026-08-26,670.77,9.27,153.01,Expired,
50710,169,3,2025-08-16,686.35,8.96,202.35,Lost,
50711,169,10,2025-06-18,2643.35,28.26,1006.89,Expired,
50712,170,4,2025-11-25,409.35,5.05,96.32,Won,2025-12-01
50713,170,3,2025-02-16,794.93,9.33,226.62,Won,2025-02-18
50714,170,4,2025-09-26,509.83,5.87,127.6,Lost,
50715,170,8,2025-05-15,511.46,5.31,76.08,Lost,
50716,170,10,2025-03-11,3231.91,34.64,1142.14,Lost,
50717,170,10,2025-07-19,2716.65,29.0,882.76,Won,2025-07-21
50718,170,8,2026-04-28,534.81,6.05,69.1,Won,2026-05-04
50719,171,10,2025-09-01,3028.09,34.64,1161.35,Lost,
50720,171,7,2025-01-04,9155.44,84.61,3506.01,Expired,
50721,171,3,2025-02-13,781.81,10.47,227.52,Won,2025-02-16
50722,171,8,2025-05-27,687.86,8.0,87.01,Won,2025-06-01
50723,171,9,2025-07-16,432.59,4.31,103.14,Expired,
50724,171,8,2025-08-22,617.68,6.51,91.11,Won,2025-08-24
50725,171,3,2025-04-08,708.79,9.24,208.6,Won,2025-04-13
50726,172,10,2025-09-01,1907.02,19.26,769.46,Won,2025-09-04
50727,172,5,2025-10-10,290.4,4.37,26.09,Lost,
50728,172,10,2025-06-09,1802.98,21.08,597.02,Lost,
50729,172,5,2025-06-28,215.64,2.62,20.74,Won,2025-06-29
50730,172,9,2025-05-21,240.81,2.5,54.33,Won,2025-05-22
50731,172,3,2025-02-10,509.25,6.71,127.27,Won,2025-02-15
50732,172,7,2026-06-19,5911.17,53.89,2503.0,Won,2026-06-26
50733,173,6,2026-02-12,3310.45,29.49,1191.78,Won,2026-02-19
50734,173,4,2025-10-24,468.34,4.56,98.73,Won,2025-10-26
50735,173,10,2026-02-27,3536.71,37.2,1138.65,Won,2026-03-02
50736,173,9,2026-06-26,408.33,3.77,101.02,Expired,
50737,173,6,2025-11-20,4316.8,46.22,1618.89,Expired,
50738,173,3,2025-04-06,753.83,8.69,204.67,Won,2025-04-08
50739,174,4,2025-09-25,448.74,4.51,87.3,Won,2025-09-27
50740,174,10,2026-05-30,1502.31,16.21,559.71,Won,2026-06-03
50741,175,8,2025-07-02,955.36,10.52,138.05,Lost,
50742,175,6,2025-05-24,4759.39,45.36,1685.11,Won,2025-05-26
50743,175,3,2025-12-04,795.56,10.72,247.08,Won,2025-12-06
50744,176,5,2025-11-26,459.47,5.82,46.0,Lost,
50745,176,10,2025-10-15,3043.86,36.5,1079.5,Lost,
50746,176,3,2026-04-05,625.16,8.22,172.86,Lost,
50747,176,4,2026-01-26,346.43,3.72,67.19,Won,2026-01-30
50748,176,8,2026-05-04,724.21,9.0,95.83,Won,2026-05-06
50749,176,8,2025-03-26,674.83,7.75,87.03,Lost,
50750,176,3,2025-07-11,580.68,7.13,193.0,Won,2025-07-15
50751,176,7,2026-04-11,5615.83,54.25,1885.18,Lost,
50752,177,10,2025-07-20,1999.75,21.4,777.36,Won,2025-07-25
50753,177,9,2026-03-17,254.62,2.34,74.8,Won,2026-03-18
50754,177,10,2026-04-28,1517.04,18.08,528.63,Expired,
50755,177,3,2025-09-23,624.23,8.52,179.94,Expired,
50756,177,5,2025-12-20,308.7,4.14,24.98,Lost,
50757,178,7,2025-05-15,4578.82,45.58,1738.6,Expired,
50758,178,6,2026-03-15,2493.17,23.06,909.96,Lost,
50759,178,3,2025-02-02,380.88,4.68,103.91,Won,2025-02-08
50760,179,3,2025-01-04,890.15,12.04,250.31,Won,2025-01-06
50761,179,3,2026-06-19,1047.57,11.06,303.13,Won,2026-06-20
50762,179,10,2025-10-16,4387.94,49.02,1261.59,Lost,
50763,179,7,2026-04-14,11035.08,97.46,4351.78,Lost,
50764,179,8,2025-04-26,944.46,9.91,143.16,Lost,
50765,180,4,2026-08-24,605.56,6.71,127.13,Lost,
50766,180,4,2025-10-19,634.77,8.15,156.41,Won,2025-10-20
50767,180,6,2026-05-09,3919.19,41.47,1511.12,Expired,
50768,180,6,2026-05-15,3881.55,41.18,1568.38,Won,2026-05-22
50769,181,10,2025-08-29,2145.66,24.7,827.76,Lost,
50770,181,3,2025-03-07,663.01,7.39,192.1,Won,2025-03-09
50771,181,3,2026-03-26,441.58,5.9,105.43,Won,2026-03-27
50772,181,3,2025-10-29,451.79,5.66,115.67,Won,2025-10-30
50773,182,3,2025-03-09,529.89,6.72,151.05,Won,2025-03-15
50774,182,10,2026-05-26,2716.22,30.94,1114.82,Lost,
50775,182,8,2025-11-08,398.26,4.72,51.83,Expired,
50776,183,3,2025-11-28,571.67,7.62,167.74,Won,2025-12-04
50777,183,3,2026-04-30,765.02,9.26,222.23,Won,2026-05-05
50778,183,9,2025-05-08,330.03,3.05,100.06,Won,2025-05-14
50779,184,7,2025-05-04,7755.48,75.86,2736.88,Lost,
50780,184,10,2026-08-20,3585.07,42.06,1361.35,Won,2026-08-24
50781,184,7,2025-04-15,11688.44,112.37,4679.15,Lost,
50782,185,9,2025-07-06,270.96,2.87,63.19,Expired,
50783,185,8,2026-03-04,457.91,5.34,66.38,Lost,
50784,185,7,2026-08-18,5345.8,45.33,1858.02,Expired,
50785,185,7,2026-05-22,8379.23,71.64,2838.87,Won,2026-05-29
50786,186,3,2025-11-19,459.01,5.95,138.54,Won,2025-11-24
50787,186,3,2025-05-03,491.86,6.7,148.79,Won,2025-05-10
50788,186,8,2026-06-07,408.37,4.99,45.68,Lost,
50789,186,4,2025-09-24,370.25,4.21,88.81,Won,2025-09-29
50790,186,6,2025-10-06,2468.72,21.74,1051.09,Lost,
50791,186,4,2025-07-13,525.42,5.04,118.57,Won,2025-07-14
50792,187,10,2026-07-15,2338.59,27.49,804.22,Lost,
50793,187,9,2026-04-22,305.11,2.84,76.45,Lost,
50794,187,4,2025-09-26,444.03,5.13,102.97,Won,2025-09-28
50795,188,9,2026-07-25,519.96,4.97,144.42,Won,2026-08-01
50796,188,10,2025-04-23,3240.19,40.86,1154.23,Lost,
50797,188,10,2025-02-02,2319.97,26.04,732.5,Expired,
50798,188,10,2025-03-12,2185.67,29.73,825.02,Expired,
50799,188,8,2026-08-02,538.02,7.2,67.99,Lost,
50800,188,9,2026-03-28,343.43,3.16,95.87,Won,2026-04-03
50801,188,5,2025-12-18,492.05,6.4,49.38,Expired,
50802,189,4,2025-09-13,419.52,4.57,93.52,Won,2025-09-18
50803,189,6,2026-02-18,1999.83,18.93,605.45,Expired,
50804,189,10,2025-02-06,2241.99,24.84,762.05,Lost,
50805,190,9,2025-08-05,477.49,4.2,129.88,Won,2025-08-07
50806,190,7,2026-08-21,12659.39,104.83,4301.67,Won,2026-08-23
50807,190,8,2026-05-25,823.25,9.08,104.48,Lost,
50808,190,3,2025-04-19,727.74,10.14,230.87,Lost,
50809,190,10,2025-04-08,3683.69,41.62,1172.14,Won,2025-04-13
50810,191,6,2026-01-21,4517.62,39.95,1469.68,Lost,
